PX2,Main,Midblock Route,Side 1 Route,Side 2 Route,Activation Date,Latitude,Longitude,Count Date,8HrPedVol,8HrVehVol,24HrPedVol,24HrVehVol
41,YONGE ST,,CHURCH ST,DAVENPORT RD,12/3/1932,43.672879,-79.387845,3/28/2011,"9,898","19,019","19,796","38,038"
42,YONGE ST,,AYLMER AVE,BELMONT ST,11/19/1963,43.6756028,-79.38895,3/28/2011,"4,055","16,363","8,110","32,726"
43,YONGE ST,,CRESCENT RD,,10/16/1957,43.6769762,-79.389534,2/12/2009,"1,907","13,397","3,814","26,794"
44,YONGE ST,,MACPHERSON AVE,ROWANWOOD AVE,4/10/1948,43.6791392,-79.390424,1/23/2007,"2,426","15,816","4,852","31,632"
45,YONGE ST,,SHAFTESBURY AVE,ALCORN AVE,12/5/1955,43.6820226,-79.391574,11/2/2009,"3,530","13,691","7,060","27,382"
46,YONGE ST,,ST CLAIR AVE E,ST CLAIR AVE W,4/5/1927,43.688075,-79.394098,10/3/2007,"24,195","23,293","48,390","46,586"
47,YONGE ST,,CHAPLIN CRES,DAVISVILLE AVE,6/14/1930,43.6982977,-79.396601,1/4/2007,"9,127","16,967","18,254","33,934"
48,YONGE ST,,MANOR RD E,MANOR RD W,12/11/1956,43.702508,-79.397458,8/19/2009,"3,776","14,040","7,552","28,080"
49,YONGE ST,,EGLINTON AVE E,EGLINTON AVE W,8/21/1929,43.7067501,-79.398311,9/20/2011,"40,740","23,542","81,480","47,084"
50,YONGE ST,,BROADWAY AVE,MONTGOMERY AVE,2/12/1957,43.709554,-79.398943,9/21/2011,"13,142","16,874","26,284","33,748"
51,YONGE ST,,CASTLEFIELD AVE,,8/21/1929,43.7118551,-79.399437,1/8/2007,"2,536","15,889","5,072","31,778"
52,YONGE ST,,BLYTHWOOD RD,LYTTON BLVD,8/12/1954,43.716605,-79.400452,1/25/2007,971,"18,584","1,942","37,168"
53,YONGE ST,,GLENGROVE AVE E,GLENGROVE AVE W,7/6/1961,43.7195544,-79.40109,8/19/2009,"1,311","14,632","2,622","29,264"
54,YONGE ST,,CHATSWORTH DR,ST EDMUNDS DR,7/17/1930,43.721971,-79.401557,4/27/2011,"1,409","18,003","2,818","36,006"
55,YONGE ST,,LAWRENCE AVE E,LAWRENCE AVE W,1/3/1941,43.7251031,-79.402193,1/16/2007,"2,196","25,132","4,392","50,264"
56,YONGE ST,,RANLEIGH AVE,,8/24/1929,43.7278642,-79.40293,6/27/2011,"5,040","18,308","10,080","36,616"
57,YONGE ST,,FAIRLAWN AVE,,8/29/1956,43.730913,-79.403788,6/28/2011,"3,090","19,660","6,180","39,320"
58,YONGE ST,,YONGE BLVD,PRIVATE ACCESS,10/12/1955,43.7343677,-79.404585,4/27/2011,"1,115","25,086","2,230","50,172"
59,BAY ST,,FRONT ST W,,9/18/1928,43.645996,-79.379115,4/22/2009,"17,115","18,965","34,230","37,930"
60,BAY ST,,WELLINGTON ST W,,9/28/1928,43.647345,-79.379702,8/12/2009,"32,319","16,188","64,638","32,376"
61,BAY ST,,KING ST W,,11/3/1927,43.648653,-79.380268,4/23/2009,"22,398","21,640","44,796","43,280"
62,BAY ST,,ADELAIDE ST W,,9/26/1928,43.649876,-79.380823,7/29/2010,"27,086","18,630","54,172","37,260"
63,BAY ST,,RICHMOND ST W,,12/30/1930,43.6512244,-79.381452,7/29/2010,"11,704","16,177","23,408","32,354"
64,BAY ST,,QUEEN ST W,,11/3/1927,43.65189,-79.381698,8/31/2011,"38,815","19,155","77,630","38,310"
65,BAY ST,,ALBERT ST,,11/22/1948,43.6529652,-79.382631,8/13/2009,"6,861","10,085","13,722","20,170"
66,DUNDAS ST W,,BAY ST,,6/28/1928,43.655721,-79.383734,8/12/2009,"35,585","22,106","71,170","44,212"
67,BAY ST,,GERRARD ST W,,4/7/1941,43.658496,-79.384865,7/23/2009,"12,211","19,660","24,422","39,320"
68,BAY ST,,COLLEGE ST,,1/28/1928,43.6608138,-79.385857,7/19/2011,"24,779","17,491","49,558","34,982"
69,BAY ST,,WELLESLEY ST W,,12/30/1930,43.664366,-79.387151,4/14/2008,"15,665","18,198","31,330","36,396"
70,BAY ST,,BLOOR ST W,,7/21/1928,43.669701,-79.389468,7/30/2009,"24,246","20,546","48,492","41,092"
71,YORK ST,,WELLINGTON ST W,,6/22/1928,43.6466383,-79.383007,11/12/2007,"8,892","9,995","17,784","19,990"
72,KING ST W,,YORK ST,,11/3/1927,43.6479338,-79.383531,4/23/2009,"14,673","12,501","29,346","25,002"
73,YORK ST,,ADELAIDE ST W,,11/6/1928,43.649196,-79.384074,7/27/2010,"9,142","14,130","18,284","28,260"
74,YORK ST,,RICHMOND ST W,,11/6/1928,43.6505005,-79.38462,6/20/2011,"4,691","10,144","9,382","20,288"
75,UNIVERSITY AVE,,YORK ST,FRONT ST W,6/14/1928,43.645291,-79.382476,12/14/2009,"24,056","21,126","48,112","42,252"
76,UNIVERSITY AVE,,WELLINGTON ST W,,2/17/1932,43.6464054,-79.384076,5/5/2011,"21,585","20,684","43,170","41,368"
77,UNIVERSITY AVE,,KING ST W,,2/15/1932,43.6476553,-79.384788,5/5/2011,"13,549","19,443","27,098","38,886"
78,UNIVERSITY AVE,,ADELAIDE ST W,,12/2/1932,43.648857,-79.38548,5/5/2011,"10,012","25,366","20,024","50,732"
79,UNIVERSITY AVE,,RICHMOND ST W,,2/15/1932,43.6501396,-79.38624,8/13/2009,"13,600","30,347","27,200","60,694"
80,UNIVERSITY AVE,,QUEEN ST W,,5/15/1932,43.650827,-79.386628,8/11/2009,"17,063","30,573","34,126","61,146"
81,UNIVERSITY AVE,,DUNDAS ST W,,6/28/1928,43.654812,-79.388484,8/11/2010,"21,610","25,814","43,220","51,628"
82,UNIVERSITY AVE,,ELM ST,,6/17/1958,43.656323,-79.388959,11/19/2009,"9,490","28,813","18,980","57,626"
83,UNIVERSITY AVE,,COLLEGE ST,,6/28/1928,43.6598474,-79.39049,11/23/2009,"10,770","31,585","21,540","63,170"
84,QUEENS PARK CRES E,,WELLESLEY ST W,,7/26/1950,43.6636098,-79.390626,8/7/2008,"3,817","17,081","7,634","34,162"
85,QUEENS PARK CRES E,125 m NORTH OF,ST JOSEPH ST,,11/24/1947,43.6659353,-79.391879,12/8/2009,"1,217","12,427","2,434","24,854"
86,AVENUE RD,,BLOOR ST W,,7/21/1928,43.668685,-79.394119,5/13/2008,"18,872","33,879","37,744","67,758"
87,EGLINTON AVE E,,BRENTCLIFFE RD,,7/4/1966,43.7145838,-79.359791,3/16/2011,"1,107","26,029","2,214","52,058"
88,EGLINTON AVE E,,LAIRD DR,,1/31/1958,43.713573,-79.364752,2/24/2010,"1,347","25,254","2,694","50,508"
89,EGLINTON AVE E,,RUMSEY RD,,12/29/1958,43.7125627,-79.369606,6/9/2008,793,"21,068","1,586","42,136"
90,EGLINTON AVE E,,BAYVIEW AVE,,3/21/1960,43.711056,-79.377114,6/1/2009,"2,583","32,071","5,166","64,142"
91,EGLINTON AVE E,,BANFF RD,,8/10/1953,43.7100093,-79.382221,7/28/2010,841,"16,885","1,682","33,770"
92,MOUNT PLEASANT RD,,EGLINTON AVE E,,6/29/1939,43.7084166,-79.390153,10/30/2010,"2,065","27,422","4,130","54,844"
93,EGLINTON AVE E,,REDPATH AVE,,5/30/1961,43.7078669,-79.39279,8/25/2009,"6,034","14,372","12,068","28,744"
94,EGLINTON AVE W,,DUPLEX AVE,,10/4/1953,43.7063458,-79.400252,9/20/2011,"5,818","16,434","11,636","32,868"
95,EGLINTON AVE W,,ORIOLE PKWY,,12/24/1954,43.7051068,-79.406125,7/24/2008,"1,003","16,819","2,006","33,638"
96,AVENUE RD,,EGLINTON AVE W,,1/8/1937,43.7046104,-79.408474,7/22/2008,"3,005","29,945","6,010","59,890"
97,EGLINTON AVE W,,HEDDINGTON AVE,,12/20/1952,43.7034761,-79.41388,4/18/2011,"2,607","14,096","5,214","28,192"
98,EGLINTON AVE W,,CHAPLIN CRES,,1/1/1967,43.7027131,-79.417444,8/26/2009,"1,026","17,932","2,052","35,864"
99,EGLINTON AVE W,,SPADINA RD,,8/9/1976,43.7023611,-79.419081,7/22/2008,310,"20,161",620,"40,322"
100,BATHURST ST,,EGLINTON AVE W,,1/1/1967,43.7009757,-79.425534,4/14/2008,"3,788","28,722","7,576","57,444"
101,EGLINTON AVE W,,GLEN CEDAR RD,OLD PARK RD,7/10/1968,43.6998248,-79.430961,12/14/2011,"2,041","17,455","4,082","34,910"
102,EGLINTON AVE W,,MARLEE AVE,,2/12/1959,43.698048,-79.439379,7/26/2011,"1,423","16,963","2,846","33,926"
103,EGLINTON AVE W,,OAKWOOD AVE,,1/31/1958,43.6972932,-79.442789,7/25/2011,"1,368","15,388","2,736","30,776"
104,EGLINTON AVE W,,NORTHCLIFFE BLVD,,1/31/1958,43.696242,-79.447688,8/27/2009,"2,431","11,336","4,862","22,672"
105,DUFFERIN ST,,EGLINTON AVE W,,11/13/1963,43.695684,-79.450293,10/18/2011,"7,654","27,120","15,308","54,240"
106,EGLINTON AVE W,,ENNERDALE RD,,1/31/1958,43.694985,-79.453476,7/28/2008,"2,764","10,723","5,528","21,446"
107,AVENUE RD,30m NORTH OF,ELGIN AVE,,12/9/1989,43.672136,-79.395624,8/5/2010,"2,454","14,619","4,908","29,238"
108,AVENUE RD,,DAVENPORT RD,,11/3/1932,43.674705,-79.396651,1/30/2007,"1,852","34,719","3,704","69,438"
109,AVENUE RD,,DUPONT ST,,7/25/1950,43.67719,-79.397579,8/4/2010,642,"16,518","1,284","33,036"
110,AVENUE RD,,COTTINGHAM ST,,11/19/1948,43.6795475,-79.39855,1/24/2012,662,"18,929","1,324","37,858"
111,AVENUE RD,,BALMORAL AVE,,3/2/1953,43.6843241,-79.400495,1/25/2012,968,"23,233","1,936","46,466"
112,ST CLAIR AVE W,,AVENUE RD,,8/26/1929,43.686624,-79.401479,4/23/2007,"2,588","30,622","5,176","61,244"
113,AVENUE RD,,LONSDALE RD,ORIOLE PKWY,1/17/1964,43.690773,-79.403027,2/7/2007,190,"18,833",380,"37,666"
114,ORIOLE PKWY,,GORMLEY AVE,,1/28/1957,43.6937297,-79.401852,1/18/2012,306,"14,287",612,"28,574"
115,ORIOLE PKWY,,CHAPLIN CRES,,7/28/1950,43.6978798,-79.403231,1/19/2012,655,"14,059","1,310","28,118"
116,AVENUE RD,,CHAPLIN CRES,,9/12/1948,43.698761,-79.406076,1/24/2007,281,"19,900",562,"39,800"
117,AVENUE RD,,ST CLEMENTS AVE,,6/20/1946,43.710333,-79.411119,1/14/2010,"1,120","20,011","2,240","40,022"
118,AVENUE RD,,GLENGROVE AVE W,,9/24/1948,43.71696,-79.413444,1/18/2010,"1,030","21,529","2,060","43,058"
119,AVENUE RD,,LAWRENCE AVE W,,1/31/1958,43.7222401,-79.415589,6/7/2010,"1,743","32,971","3,486","65,942"
120,AVENUE RD,,FAIRLAWN AVE,,1/31/1958,43.7279,-79.417894,1/23/2012,"1,089","20,920","2,178","41,840"
121,AVENUE RD,,BROOKE AVE,,1/31/1958,43.7332,-79.41951,1/19/2010,"1,366","22,365","2,732","44,730"
122,AVENUE RD,,DUNBLAINE AVE,,7/18/1957,43.7359103,-79.4201,12/14/2010,638,"16,556","1,276","33,112"
123,AVENUE RD,,WILSON AVE,,1/31/1958,43.7398627,-79.421636,9/8/2009,"1,341","34,083","2,682","68,166"
124,YONGE ST,,YORK MILLS RD,WILSON AVE,1/31/1958,43.744121,-79.406724,5/26/2010,"1,068","38,102","2,136","76,204"
125,YONGE ST,,SHEPPARD AVE E,SHEPPARD AVE W,1/31/1958,43.7615144,-79.410903,6/7/2010,"6,465","40,431","12,930","79,404"
126,YONGE ST,,EMPRESS AVE,PARK HOME AVE,1/29/1959,43.7692945,-79.412931,4/6/2009,"3,237","25,341","6,474","50,682"
127,YONGE ST,,CHURCH AVE,CHURCHILL AVE,7/27/1960,43.773798,-79.414034,9/13/2007,"2,436","23,808","4,872","47,616"
128,YONGE ST,,FINCH AVE E,FINCH AVE W,1/31/1958,43.7797703,-79.415504,5/5/2010,"9,068","33,815","18,136","74,471"
129,YONGE ST,,CUMMER AVE,DREWRY AVE,1/31/1958,43.7870804,-79.417327,9/18/2007,"3,524","28,786","7,048","57,572"
130,YONGE ST,,MADAWASKA AVE,MOORE PARK AVE,1/31/1958,43.7938145,-79.418991,4/20/2011,"1,211","29,179","2,422","58,358"
131,YONGE ST,,STEELES AVE W,STEELES AVE E,1/31/1958,43.798049,-79.420064,10/3/2010,"3,025","33,636","6,050","67,272"
132,MOUNT PLEASANT RD,,ELM AVE,,2/6/1950,43.6745775,-79.380161,6/29/2011,661,"16,947","1,322","33,894"
133,MOUNT PLEASANT RD,,INGLEWOOD DR,,5/19/1950,43.6883196,-79.383542,6/30/2011,913,"20,190","1,826","40,380"
134,MOUNT PLEASANT RD,,ST CLAIR AVE E,,5/23/1950,43.690374,-79.383288,4/28/2008,823,"23,528","1,646","47,056"
135,MOUNT PLEASANT RD,,MOORE AVE,,2/15/1957,43.6936038,-79.3846212,1/29/2008,"1,022","20,632","2,044","41,264"
136,MOUNT PLEASANT RD,,MERTON ST,,9/12/1948,43.6982046,-79.386448,1/20/2010,"1,327","22,227","2,654","44,454"
137,MOUNT PLEASANT RD,,DAVISVILLE AVE,,9/28/1948,43.7003222,-79.386937,2/6/2008,"2,435","20,136","4,870","40,272"
138,MOUNT PLEASANT RD,,MANOR RD E,,2/17/1957,43.7043099,-79.388524,4/9/2008,"1,779","20,952","3,558","41,904"
139,MOUNT PLEASANT RD,,BROADWAY AVE,,2/16/1953,43.711129,-79.391181,11/25/2009,"3,167","21,405","6,334","42,810"
140,MOUNT PLEASANT RD,,BLYTHWOOD RD,,8/22/1948,43.7178824,-79.394131,11/10/2011,331,"18,969",662,"37,938"
141,MOUNT PLEASANT RD,,ST LEONARDS AVE,,8/14/1966,43.7223099,-79.395694,8/16/2011,470,"11,801",940,"23,602"
142,MOUNT PLEASANT RD,,LAWRENCE AVE E,,2/23/1953,43.72623704,-79.39679056,6/16/2009,783,"21,641","1,566","43,282"
143,KINGSTON RD,,MORNINGSIDE AVE,,3/23/1962,43.770604,-79.186884,12/13/2010,"2,424","27,729","4,848","55,458"
144,KINGSTON RD,,LAWRENCE AVE E,,1/21/1960,43.7676558,-79.189555,6/29/2010,"1,901","33,382","3,802","66,764"
145,KINGSTON RD,,GALLOWAY RD,,1/31/1958,43.7621101,-79.1947327,10/7/2010,"1,562","27,731","3,124","55,462"
146,KINGSTON RD,,GUILDWOOD PKWY,CROMWELL RD,12/11/1962,43.749649,-79.205992,3/25/2010,258,"24,763",516,"49,526"
147,KINGSTON RD,,EGLINTON AVE E,,5/4/1956,43.7437557,-79.211651,6/9/2011,503,"26,316","1,006","52,632"
148,KINGSTON RD,,MARKHAM RD,,10/31/1960,43.738817,-79.217042,6/6/2011,"1,116","22,795","2,232","45,590"
149,KINGSTON RD,,MCCOWAN RD,CATHEDRAL BLUFFS DR,12/2/1964,43.725113,-79.232452,10/15/2009,"1,137","29,118","2,274","58,236"
150,KINGSTON RD,,ST CLAIR AVE E,BROOKLAWN AVE,1/12/1958,43.721858,-79.236215,6/10/2010,"1,213","25,234","2,426","50,468"
151,KINGSTON RD,,MIDLAND AVE,,1/1/1957,43.711111,-79.248196,6/24/2010,"1,644","21,013","3,288","42,026"
152,KINGSTON RD,,SANDOWN AVE,,1/21/1963,43.7087694,-79.249759,12/3/2009,701,"22,525","1,402","45,050"
153,KINGSTON RD,,CLAREMORE AVE,CLIFFSIDE DR,1/31/1958,43.703931,-79.252775,12/7/2009,394,"20,066",788,"40,132"
154,KINGSTON RD,,BIRCHMOUNT RD,,6/23/1961,43.6930141,-79.262326,4/14/2009,488,"14,473",976,"28,946"
155,KINGSTON RD,,BIRCHCLIFF AVE,,1/31/1958,43.691469,-79.264762,2/8/2010,677,"12,563","1,354","25,126"
156,KINGSTON RD,,WARDEN AVE,,1/31/1958,43.6877698,-79.270928,12/7/2009,"1,016","14,259","2,032","28,518"
157,KINGSTON RD,,FALLINGBROOK RD,,1/31/1958,43.6822709,-79.279219,4/15/2009,813,"17,458","1,626","34,916"
158,KINGSTON RD,,VICTORIA PARK AVE,,12/15/1948,43.6808074,-79.284041,4/16/2009,"3,700","19,898","7,400","39,796"
159,KINGSTON RD,,BEECH AVE,,5/3/1953,43.6802604,-79.2907,4/14/2009,"1,391","15,084","2,782","30,168"
160,KINGSTON RD,,MAIN ST,SOUTHWOOD DR,12/15/1948,43.678903,-79.29801,4/15/2009,"1,457","17,613","2,914","35,226"
161,KINGSTON RD,,WAVERLEY RD,BROOKSIDE DR,3/1/1957,43.67695,-79.304104,6/28/2010,565,"14,110","1,130","28,220"
162,KINGSTON RD,,WOODBINE AVE,,6/9/1929,43.67394,-79.307902,10/15/2009,"1,117","21,466","2,234","42,932"
163,KINGSTON RD,,DUNDAS ST E,DIXON AVE,3/3/1953,43.669951,-79.311169,6/22/2010,"1,001","12,629","2,002","25,258"
164,KINGSTON RD,,BRIMLEY RD,BRIMLEY RD S,5/11/1964,43.718239,-79.240372,6/28/2010,790,"21,729","1,580","43,458"
165,CHURCH ST,,PARK RD,,8/8/1966,43.672219,-79.384788,3/28/2011,"1,564","10,851","3,128","21,702"
166,UNIVERSITY AVE,,ARMOURY ST,,9/17/1965,43.653099,-79.387585,5/5/2011,"3,558","22,382","7,116","44,764"
167,BAYVIEW AVE,,NESBITT DR,,12/17/1959,43.694104,-79.366284,2/10/2010,12,"15,743",24,"31,486"
168,QUEEN ST E,,COXWELL AVE,,10/15/1948,43.666345,-79.316558,3/30/2010,"3,123","12,633","6,246","25,266"
169,BAYVIEW AVE,,MOORE AVE,,3/15/1960,43.6967298,-79.371732,1/4/2012,749,"19,640","1,498","39,280"
170,BAYVIEW AVE,,MCRAE DR,MERTON ST,7/27/1962,43.70096,-79.373324,12/14/2010,982,"20,257","1,964","40,514"
171,BAYVIEW AVE,,MILLWOOD RD,,3/21/1960,43.7042575,-79.374587,12/7/2010,"2,599","18,168","5,198","36,336"
172,BAYVIEW AVE,,MANOR RD E,FLEMING CRES,9/26/1958,43.7069178,-79.375617,12/6/2010,"1,593","16,333","3,186","32,666"
173,AVENUE RD,,EDMUND AVE,,8/16/1965,43.6825716,-79.39976,1/26/2012,540,"21,979","1,080","43,958"
174,QUEEN ST E,,RIVER ST,,4/11/1954,43.6573374,-79.356489,6/16/2008,"1,181","10,007","2,362","20,014"
175,RIVER ST,,SHUTER ST,,7/1/1957,43.659502,-79.357445,6/16/2008,718,"6,776","1,436","13,552"
176,GERRARD ST E,,RIVER ST,,6/15/1954,43.6636874,-79.35923,7/15/2010,"1,556","15,733","3,112","31,466"
177,BAYVIEW AVE,,RIVER ST,,9/30/1959,43.6658819,-79.357365,5/1/2007,1,"13,720",2,"27,440"
178,DANFORTH AVE,,SIBLEY AVE,,4/9/1964,43.6902727,-79.292675,9/1/2009,"1,788","12,441","3,576","24,882"
179,BAYVIEW AVE,,BROADWAY AVE,,5/10/1961,43.7139,-79.377589,4/15/2011,605,"23,555","1,210","47,110"
180,DUNDAS ST W,,OSSINGTON AVE,,4/9/1929,43.6493419,-79.42078,5/12/2008,"4,526","13,770","9,052","27,540"
181,DUNDAS ST W,,LANSDOWNE AVE,,10/14/1948,43.6501405,-79.439714,7/21/2009,"2,240","13,019","4,480","26,038"
182,DUNDAS ST W,,DOVERCOURT RD,,5/16/1955,43.6494457,-79.424738,6/18/2008,"3,386","14,515","6,772","29,030"
183,DUNDAS ST W,,BROCK AVE,,12/17/1952,43.6498834,-79.435598,6/8/2010,"2,328","11,039","4,656","22,078"
184,YORKLAND RD,,HERONS HILL WAY,PRIVATE ACCESS,6/25/1981,43.7744125,-79.337132,1/15/2007,183,"5,440",366,"10,880"
185,JANE ST,,DUNDAS ST W,,1/31/1958,43.665693,-79.491175,2/18/2009,989,"26,918","1,978","53,836"
186,DUNDAS ST W,,RUNNYMEDE RD,,10/22/1948,43.665584,-79.482104,6/11/2009,"1,337","18,611","2,674","37,222"
187,DUNDAS ST W,,PACIFIC AVE,,9/29/1961,43.6654376,-79.468576,6/30/2010,"2,629","12,237","5,258","24,474"
188,DUNDAS ST W,,KEELE ST,,4/7/1928,43.6653881,-79.464561,9/11/2008,"1,830","24,118","3,660","48,236"
189,BAYVIEW AVE,265m SOUTH OF,POST RD,PRIVATE ACCESS,1/13/1978,43.7340769,-79.381419,5/10/2011,564,"27,993","1,128","55,986"
190,DUFFERIN ST,,DUNDAS ST W,,11/17/1948,43.6496233,-79.431438,6/7/2010,"3,260","14,748","6,520","29,496"
191,EGLINTON AVE E,,BELLAMY RD N,PRIVATE ACCESS,5/18/1965,43.740245,-79.232044,5/12/2009,"1,566","17,723","3,132","35,446"
192,EGLINTON AVE E,,MCCOWAN RD,,10/28/1966,43.7388424,-79.238405,9/28/2009,867,"21,411","1,734","42,822"
193,BAY ST,,GROSVENOR ST,,11/21/1966,43.6625165,-79.38637,7/28/2010,"6,448","11,998","12,896","23,996"
194,ST CLAIR AVE W,,EARLSCOURT AVE,,11/17/1966,43.676982,-79.447423,8/9/2010,"1,178","7,138","2,356","14,276"
195,DIXON RD,,CITY VIEW DR,KELFIELD ST,12/12/1966,43.6902252,-79.57703233,8/5/2010,765,"21,256","1,530","42,512"
196,DUNDAS ST W,,BATHURST ST,,8/27/1953,43.652296,-79.406015,3/25/2009,"8,412","19,143","16,824","38,286"
197,GERRARD ST E,,SACKVILLE ST,,10/7/1961,43.662597,-79.364003,7/22/2009,"2,707","9,592","5,414","19,184"
198,SIMCOE ST,,ADELAIDE ST W,,5/13/1960,43.6486354,-79.386558,8/10/2009,"4,803","9,491","9,606","18,982"
199,KING ST W,,SIMCOE ST,,5/13/1960,43.647371,-79.38605,3/30/2009,"9,542","7,847","19,084","15,694"
200,BAYVIEW AVE,,BLYTHWOOD RD,PRIVATE ACCESS,1/31/1958,43.7209801,-79.378926,3/23/2011,765,"24,828","1,530","49,656"
201,KING ST W,,BATHURST ST,,6/15/1928,43.643904,-79.40267,4/14/2008,"7,725","18,450","15,450","36,900"
202,VICTORIA PARK AVE,,CRAIGTON DR,JONESVILLE CRES,9/8/1984,43.726712,-79.303485,1/26/2011,"1,515","23,584","3,030","47,168"
